codigo,coord_x,coord_y,coord_z,name,t_e,tipo,tipo_est,web,zona_est,diasppmx18,diasppmx17,codigo2
750,-15.84601389,-72.65064444,2850,CHUQUIBAMBA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000750,RP,,3,000750
751,-15.71388889,-72.56722222,2950,PAMPACOLCA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000751,RP,,8,000751
752,-14.39944444,-72.08861111,3253,SANTO TOMAS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000752,RP,,4,000752
753,-15.18882778,-71.77019167,4318,CAYLLOMA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000753,RP,,2,000753
755,-15.494275,-71.463775,3806,SIBAYO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000755,RP,,0,000755
757,-14.81694444,-71.41694444,3927,YAURI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000757,RP,,4,000757
758,-15.64162778,-71.60168889,3644,CHIVAY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000758,RP,,3,000758
759,-14.25361111,-71.23722222,3574,SICUANI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000759,RP,,2,000759
761,-14.93652778,-70.88594444,3980,LLALLY,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000761,RP,6,1,000761
762,-15.48352778,-70.67577778,4400,PAMPAHUTA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000762,RP,,5,000762
764,-14.78477778,-70.71569444,3971,CHUQUIBAMBILLA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000764,RP,,0,000764
765,-15.84265556,-71.09061667,4475,IMATA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000765,RP,,0,000765
776,-14.87266667,-70.59288889,3928,AYAVIRI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000776,RP,,0,000776
777,-14.07,-70.43908333,4345,MACUSANI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000777,RP,,1,000777
778,-14.69011111,-70.02352778,3980,PROGRESO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000778,RP,,2,000778
779,-15.67344444,-70.37211111,3892,LAMPA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000779,RP,,1,000779
780,-15.16958333,-69.96988889,3920,CABANILLAS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000780,RP,5,3,000780
781,-14.91436111,-70.19075,3863,AZANGARO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000781,RP,,2,000781
782,-15.81597222,-69.93602778,3808,LOS UROS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000782,RP,3,5,000782
783,-15.13625,-70.11822222,3830,ARAPA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000783,RP,,1,000783
785,-14.76694444,-69.95180556,3948,MUÑANI,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000785,RP,,2,000785
786,-15.2015,-69.75355556,3890,HUANCANE,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000786,RP,,1,000786
787,-15.38827778,-69.48427778,3890,HUARAYA MOHO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000787,RP,,2,000787
788,-15.60636111,-69.83213889,3828,CAPACHICA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000788,RP,,0,000788
790,-15.21666667,-69.15686111,1385,TAMBOPATA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000790,RP,,0,000790
