Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
09-Ene-2018,13.2,2.1,4.2,11.2,6.1,4.1,10.1,6.0,0.0,8.4,,
10-Ene-2018,15.1,1.2,3.3,14.3,5.4,3.1,12.2,5.2,6.4,2.2,,
11-Ene-2018,14.2,3.1,5.1,13.2,6.3,5,12.1,6.1,0.0,3.2,,
12-Ene-2018,13.1,2.2,4.1,12.3,5.3,4,11.2,5.2,3.5,3.5,,
13-Ene-2018,15.2,4.1,6.1,13.2,7.1,6,12.1,7.0,0.0,2.1,,
14-Ene-2018,15.1,1.2,3.3,14.2,6.2,3.2,13.1,6.0,0.0,0.0,,
15-Ene-2018,13.2,2.2,4.2,11.3,5.4,4.1,10.2,5.2,0.0,0.0,,
16-Ene-2018,16.1,3.1,5.3,15.1,7.2,5.1,14,7.0,4.1,0.0,,
17-Ene-2018,15.1,5.2,7.1,14.2,6.4,7,13.1,6.2,15.3,4.3,,
18-Ene-2018,16.2,4.2,6.4,15.3,7.1,6.2,14.2,7.0,3.1,1.2,,
19-Ene-2018,15.1,3.1,5.3,13.2,6.4,5.2,12.1,6.2,2.2,2.2,,
20-Ene-2018,14.2,4.1,6.1,12.2,7.1,6,11.1,7.0,1.1,6.2,,
21-Ene-2018,17.1,1.2,3.3,16.1,7.2,3.2,15,7.0,2.1,8.3,,
22-Ene-2018,14.2,4.1,6.3,13.1,5.4,6.1,12,5.2,1.4,18.2,,
23-Ene-2018,13.2,1.2,4.2,12.3,6.1,4.1,11.2,6.0,0.0,9.4,,
24-Ene-2018,16.2,4.1,6.1,14.3,7.1,6,13.2,7.0,2.1,0.0,,
25-Ene-2018,16.1,2.1,4.2,15.1,6.4,4.1,14,6.2,0.0,3.4,,
26-Ene-2018,14.2,3.1,5.1,13.1,5.3,5,12.2,5.1,0.0,1.1,,
27-Ene-2018,17.1,1.2,3.3,16.2,7.4,3.1,15.2,7.2,0.0,0.0,,
28-Ene-2018,17.2,2.1,4.1,15.4,7.1,4,14.2,7.0,0.0,0.0,,
29-Ene-2018,16.2,1.1,2.2,14.3,6.4,2.1,13.2,6.2,0.0,0.0,,
30-Ene-2018,18.3,3.1,5.2,17.2,8.1,5.1,16.1,8.0,0.0,0.0,,
31-Ene-2018,16.1,2.1,4.1,15.3,7.2,4,14.2,7.0,0.0,7.2,,
01-Feb-2018,17.2,3.2,5.3,16.2,7.1,5.2,15.1,7.0,0.0,2.4,,
02-Feb-2018,16.1,4.1,6.2,14.3,7.2,6.1,12.2,7.0,0.0,4.3,,
03-Feb-2018,18.2,2.1,3.2,16.3,8.1,3.1,15.2,8.0,0.0,0.0,,
04-Feb-2018,19.1,1.1,2.2,17.2,8.2,2.1,16.1,8.0,0.0,0.0,,
05-Feb-2018,18.1,3.1,5.2,16.3,7.2,5.1,15.2,7.0,0.0,2.5,,
06-Feb-2018,16.2,4.2,6.3,15.2,6.4,6.2,14.1,6.2,0.0,1.2,,
07-Feb-2018,18.1,1.2,3.3,17.3,7.3,3.2,16.2,7.1,0.0,0.0,,
08-Feb-2018,18.2,3.1,5.3,16.2,8.1,5.2,15.2,8.0,0.0,2.4,,
09-Feb-2018,15.1,4.1,6.1,14.3,5.4,6,13.2,5.2,0.0,0.0,,
10-Feb-2018,17.2,1.2,3.2,16.3,7.2,3.1,15.2,7.0,0.0,0.0,,
11-Feb-2018,14.2,3.2,5.3,13.2,6.3,5.2,12.1,6.1,0.0,0.0,,
12-Feb-2018,15.2,4.1,6.1,14.3,7.1,6,12.2,7.0,0.0,3.2,,
13-Feb-2018,18.1,5.1,7.1,16.3,7.3,7,15.2,7.0,1.3,0.0,,
14-Feb-2018,19.1,2.1,4.2,17.3,8.2,4.1,16.2,8.0,1.5,0.0,,
15-Feb-2018,14.2,4.1,6.2,13.2,5.4,6.1,12.1,5.2,8.1,12.3,,
16-Feb-2018,15.2,5.2,7.1,14.3,6.3,7,13.2,6.1,0.0,3.5,,
17-Feb-2018,18.1,2.1,4.1,17.2,8.2,4,16.1,8.0,0.0,0.0,,
18-Feb-2018,17.1,4.2,6.3,16.2,7.1,6.2,15.1,7.0,0.0,3.4,,
19-Feb-2018,14.2,5.1,7.2,13.2,5.4,7,12.1,5.2,0.0,0.0,,
20-Feb-2018,12.1,3.2,5.3,10.4,4.3,5.2,9.2,4.1,0.0,4.1,,
21-Feb-2018,14.2,4.1,6.2,13.3,5.4,6.1,12.1,5.2,0.0,6.5,,
22-Feb-2018,15.1,2.1,4.2,14.3,6.4,4.1,13.2,6.2,0.0,0.0,,
23-Feb-2018,17.2,1.2,3.3,16.1,7.2,3.2,15,7.1,0.0,0.0,,
24-Feb-2018,18.2,2.2,4.2,17.3,8.1,4.1,16.2,8.0,0.0,0.0,,
25-Feb-2018,15.1,3.1,5.3,14.3,6.2,5.2,13.2,6.0,4.2,5.4,,
26-Feb-2018,13.2,5.1,7.2,12.3,5.4,7.1,11.2,5.2,0.0,9.2,,
27-Feb-2018,16.1,2.1,4.1,15.2,6.4,4,14.1,6.2,0.0,4.4,,
28-Feb-2018,15.1,1.2,3.3,14.2,5.4,3.2,13.1,5.2,1.2,2.3,,
01-Mar-2018,13.2,4.1,6.1,12.3,5.4,6,11.2,5.2,0.0,16.4,,
02-Mar-2018,15.1,5.1,7.2,14.2,6.4,7.1,13.1,6.2,7.4,2.3,,
03-Mar-2018,16.1,3.1,5.3,15.3,7.2,5.2,14.2,7.0,0.0,4.2,,
04-Mar-2018,15.2,2.1,4.2,14.1,6.2,4.1,13.1,6.1,0.0,12.2,,
05-Mar-2018,13.2,4.1,6.1,12.3,5.4,6,11.2,5.2,0.0,7.2,,
06-Mar-2018,14.2,3.1,5.2,13.2,6.1,5.2,12.1,6.0,0.0,8.4,,
07-Mar-2018,15.1,5.1,7.2,14.3,6.2,7.1,13.2,6.0,9.7,3.5,,
08-Mar-2018,17.1,1.1,3.3,15.2,7.2,3.2,14.1,7.0,3.4,0.0,,
09-Mar-2018,16.1,2.2,4.3,14.3,6.4,4.2,13.2,6.2,12.3,0.0,,
10-Mar-2018,18.2,3.1,5.3,16.2,8.1,5.2,15.1,8.0,15.1,5.2,,
11-Mar-2018,16.2,4.1,6.1,15.2,7.2,6,14.1,7.0,3.1,2.4,,
12-Mar-2018,14.2,5.1,7.1,13.2,6.3,7,12.1,6.1,0.0,4.5,,
13-Mar-2018,14.1,4.1,6.3,12.3,5.4,6.2,11.2,5.2,0.0,5.3,,
14-Mar-2018,15.2,3.1,5.3,14.1,6.4,5.2,13,6.2,0.0,1.2,,
15-Mar-2018,17.1,2.1,4.2,16.3,7.2,4.1,15.2,7.0,1.5,0.0,,
16-Mar-2018,14.2,5.1,7.2,13.1,6.3,7,12,6.1,0.0,4.5,,
17-Mar-2018,12.3,6.2,8.1,11.2,6.2,8,10.1,6.0,4.3,5.3,,
18-Mar-2018,14.1,4.1,6.1,13.2,5.4,6,12.1,5.2,6.2,7.2,,
19-Mar-2018,15.1,3.1,5.3,14.2,7.1,5.2,13.1,7.0,0.0,6.5,,
20-Mar-2018,14.1,4.1,6.3,13.1,5.4,6.2,12,5.2,1.4,5.5,,
21-Mar-2018,16.1,5.1,7.1,15.2,6.4,7,14.1,6.2,0.0,5.4,,
